PILPROJ;Deb;PILPROJ_DEB_FR_1;Conversations;Quelle icône permet d'ajouter des participants à une conversation de groupe? ;Which icon can add participants to a group conversation? (To add a participant to a group conversation, which icon should I use?);Icône Activer la vidéo//Icône Ajouter des participants//Icône Détacher la fenêtre;Activate video icon//Add participants icon//Pop out chat icon;"Si je dois ajouter des nouvelles personnes à une conversation de groupe, j'utilise la fonctionnalité ""Ajouter des participants"" au lieu de créer une nouvelle conversation. ";"When I have to add new people to a group conversation, I use the ""Add Participants"" feature instead of creating a new conversation.";B;QCMUniqueImage
MNG;Inter;MNG_INT_FR_7;Statut/Raccourcis;Lorsque je regarde l'application Teams sur le PC de mon manager, celle-ci a un fond noir. Mon manager est-il un magicien? ;I see that my manager is using a dark background on Teams. Does he have super powers? ;Oui, il fait disparaître les problèmes ! //Peut-être, mais il a surtout changé le thème de Teams en mode sombre.;Yes, he does have super powers!//Maybe, but may just have set Teams in Dark mode.;En allant dans les paramètres de Teams via ma photo de profil, je peux choisir le thème de l'application. ;In Teams Setting (available in my profile pricture) I can set different Teams theme such as Dark Mode.;B;QCMUnique
MNG;Inter;MNG_INT_FR_8;Statut/Raccourcis;Quel est le bon parcours pour modifier mon statut sur Teams en un minimum de clics?;What is the best way to change my status on Teams ?;"Je tape ensuite ""/"".//Pour commencer, je positionne ma souris dans la barre de recherche.//Enfin, je tape le statut que je souhaite (Absent, Disponible, De retour bientôt…).";"I then type ""/"".//To start, I select the search bar.//Finally I choose the needed status (Away, Available, Back soon, etc...).";Mes interlocuteurs sauront si je suis joignable grâce à mon statut à jour.;Keeping our status up to date is the best way to let my collegues know if they can reach to me;B//A//C;BonParcours
MNG;Inter;MNG_INT_FR_9;Appels;Quel est le bon parcours pour ajouter un délégué pour mes appels Teams?;What is the right way to add a delegate for my Teams calls?;"Ensuite, je vais dans l'onglet ""Général"".//Enfin, j'ajoute mes délégués dans l'onglet ""Vos délégués"".//Je sélectionne ""Gérer les délégués"" tout en bas.//Tout d'abord, j'ouvre les ""Paramètres"".";"Then I go to the ""General"" Tab.//Finally, I add my collegues in the ""Your delegates"" tab.//I scroll down to ""Manage Delegates"".//First, I open ""Settings"".";Sur Teams, les délégués peuvent passer et recevoir des appels en mon nom. J'utilise cette fonctionnalité quand je ne suis pas joignable, quand je suis en déplacement, en congés ou en voyage professionnel. ;In Teams, delegates can make and receive calls on my behalf. I use this feature when I'm not available, in Vacation or on a business trip.;D//A//C//B;BonParcours
MNG;Inter;MNG_INT_FR_10;Appels;Je suis en réunion avec mon équipe, Alex m'envoie un message en me disant qu'il vaut mieux l'appeler sur son téléphone personnel car il n'a plus de batterie. Comment faire? ;I am in a meeting with my team, Alex sent me a message telling me that it is better to call on his mobile phone as his laptop is low on battery. How do you do this?;"Je l'appelle depuis mon téléphone personnel.//J'utilise la fonctionnalité ""Ajouter des participants"" et je compose son numéro.//Je raccroche la réunion en cours et je lance un appel de groupe sur tous les numéros personnels de l'équipe.//Je ne peux pas l'appeler, il ne participera pas à la réunion. ";"I make the call with my mobile phone.//I use the functionnality ""Add participants"" and I look for his mobile phone or type it.//I hang up the current meeting and I make a group call on all personal numbers of team.//I can not call him, he did not attend the meeting.";Si un des membres de mon équipe rencontre des difficultés à se connecter à une réunion, je peux l'appeler sur son téléphone portable depuis la réunion en cours, ainsi tout le monde pourra participer activement à la réunion. ;If one of my team members encounters difficulties to connect to a meeting, He can ask to be called or I can call him on his mobile phone from the current meeting, and everyone can participate actively in the meeting.;B;QCMUnique
MNG;Inter;MNG_INT_FR_11;Calendrier;J'ai partagé le détail de mon calendrier sur Outlook aux membres de mon équipe pour qu'ils puissent me fixer des rendez-vous plus facilement. Est-ce qu'ils ont la vue de mon Calendrier sur Teams? ;I shared the details of my Outlook calendar to my team so they can set up appointments more easily. Do they have the view on Teams calendar?;"Oui, depuis l'onglet ""Calendrier"".//Oui, uniquement quand ils utilisent l'Assistant de planification.//Oui, quand ils consultent mon profil sur Teams. ";"Yes, from the ""Calendar"" tab.//Yes, only when they use schedule assistant.//Yes when they check my profile in Teams.";Aujourd'hui, je ne peux pas visualiser directement le calendrier partagé par une autre personne dans Teams. Par contre, en utilisant l'Assistant de planification, j'ai accès aux détails de tous les calendriers partagés avec moi. ;Today, I cannot see shared calendras in teams but Schedule assistant display common available slots;B;QCMUnique
MNG;Inter;MNG_INT_FR_12;Calendrier;Pour être efficace, je conseille aux membres de mon équipe de respecter le cycle de vie des réunions idéales qui est: ;To be effective, I advise my staff to follow the following meeting lifecyle.;"Afficher du contenu en direct, enregistrer la réunion si besoin, et utiliser les fonctionnalités présentes pour prendre la parole.//Inclure un ordre du jour dans l'invitation et inviter les autres participants à utiliser l'onglet ""Conversations"" pour échanger, si besoin, avant le début de la réunion.//Publier des tâches de chacun, des fichiers et d'autres activités de suivi.";View live content, record the meeting if necessary, and use the features present to speak.//Include a meeting agenda in the meeting invitation and ask participants to chat in the meeting conversation before the meeting.//Post each tasks, files and other resources.;Je partage les bonnes pratiques de réunion aux membres de mon équipe pour que chacun puisse organiser des réunions efficaces. ;I share the best meeting practices to my team members to ensure everyone has effective meeting practices.;B//A//C;QCMMultiple
MNG;Inter;MNG_INT_FR_13;Équipe/Discussions;J'ai besoin de diffuser la même information dans plusieurs équipes, quel est le bon parcours? ;What is the best way to share the same information in different teams ?;"Je clique sur le bouton ""Publier dans plusieurs canaux"".//Je clique ensuite sur l'icône ""Format"" pour mettre en forme ma nouvelle publication.//Enfin, je choisis les canaux dans lesquels je veux publier mon information.//Tout d'abord, je crée une nouvelle publication dans un canal.";"I use the ""Publish to multiple channels"".//I use the ""Format"" option in the new post.//Last, I choose the different channels which I want to post in.//First, I go in a channel and create a new post";Je gagne du temps en publiant une même information dans plusieurs canaux d'équipes. ;I save time by publishing the same information in multiple Teams channels;D//B//A//C;BonParcours
MNG;Inter;MNG_INT_FR_14;Équipe/Discussions;Vrai ou faux? Je peux mettre un titre à une publication dans un canal. ;True or false? I can create a title for a new conversation in a channel.;Vrai, c'est même recommandé !//Faux;True, it is even a best practice!//False;Si je ne  mets pas de titre à ma publication dans un canal, c'est comme si j'envoyais un email sans objet !;Adding a title to a conversation is recommended to make it easier to understand and to find;A;QCMUnique
MNG;Avance;MNG_AVA_FR_1;Conversations;Quand je mentionne une personne, j'aimerais supprimer son nom de famille et ne conserver que son prénom, est-ce possible ? ;When I mention a person, I would like to delete their last name and keep only their first name, is it possible?;"Oui, si j'ai bien mis ""@"" devant le prénom de mon interlocuteur, la mention fonctionnera toujours, même si j'efface son nom de famille.//Non, cela fera disparaitre la mention.";"Yes, if I put ""@"" in front of my caller's first name, the mention will still work, even if I erase his last name.//No, it will make the mention disappear.";Si je ne mentionne pas mes collègues, je prends le risque qu'ils ne lisent pas mon message et donc que je n'obtienne pas de réponse ! ;If I don't mention my colleagues, I'm taking the risk that they won't read my message and therefore I won't get an answer!;A;QCMUnique
MNG;Avance;MNG_AVA_FR_2;Conversations;Dans les conversations et les publications, je peux utiliser des autocollants à la place des GIFs, je peux les personnaliser via : ;In conversations and publications, I can use stickers instead of GIFs, I can customize them via:;"Le bouton ""A"".//Le bouton ""Joindre"".//Le bouton ""Autocollant"".";"The ""A"" button.//The ""Join"" button.//The ""Sticker"" button.";"La personnalisation est toujours très appréciée de mes collègues ! Pour personnaliser un autocollant, je clique sur le bouton ""Autocollant"", j'en sélectionne un parmi ceux qui sont illustrés avec un petit crayon, et j'ajoute mon message. ";"Personalization is always very appreciated by my colleagues! To customize a sticker, I click the ""Autocollant"" button, select one from those that are illustrated with a small pencil, and add my message.";C;QCMUnique
MNG;Avance;MNG_AVA_FR_3;Fichiers;Je souhaite partager un fichier à mon collègue Bruno, qui ne fait pas partie de l'équipe Teams dans laquelle se trouve ce fichier. Quel est le bon parcours? ;I would like to share a file with my colleague Bruno, who is not part of the Teams team in which this file is located. What's the right course?;"Je sélectionne le fichier en question et je clique sur ""...""//Tout d'abord, je vais dans l'équipe Teams où se trouve le fichier.//Je vais dans ma conversation avec Bruno, et je colle le lien copié.//Je sélectionne ""Copier le lien"".";"I select the file in question and click on ""…""//First, I go to the Teams team where the file is located.//I go in my conversation with Bruno, and I paste the copied link.//I select ""Copy the link"".";Cette manipulation me permet de partager le fichier à Bruno sans l'ajouter dans l'équipe Teams. ;This manipulation allows me to share the file with Bruno without adding him to the Teams team.;B//A//D//C;BonParcours
MNG;Avance;MNG_AVA_FR_4;Fichiers;"En tant que manager d'une équipe de 30 personnes, j'ai créé un canal ""Contenu pour le succès de tous"", où j'encourage mes collaborateurs à publier leurs succès et leurs documents, pour l'information de tous. Est-ce que une bonne pratique? ";"As the manager of a team of 30 people, I have created a ""Content for everyone's success"" channel, where I encourage my employees to publish their successes and documents, for everyone's information. Is that a good practice?";Oui, les efforts des uns peuvent bénéficier aux autres, la collaboration entre les membres de l'équipe est favorisée. //Non;Yes, the efforts of some can benefit others, collaboration between team members is promote.//No.;Une information transparente et partagée est bénéfique pour tous ! ;Transparent and shared information is beneficial for everyone!;A;QCMUnique
MNG;Avance;MNG_AVA_FR_5;Applications;Nous avons une présentation avec un client. Mon client m'indique qu'il est avec un membre de son équipe qui est mal entendant et qu'il a besoin du sous-titrage pour suivre la réunion en ligne. Qu'est-ce que je fais?  ;We have a presentation with a client. My client tells me that he is with a member of his team who is hard of hearing and that he needs captioning to follow the meeting online. What should I do? ;"Je demande à tous les participants qui vont présenter d'activer les sous-titrages dans Powerpoint.//Je suis embarrassé.e, je ne sais pas quoi faire.//J'informe mon client qu'il peut également activer les sous-titres instantanés en cliquant sur les trois points ""..."" dans la barre de contrôle. ";"I ask to all participants who will present to activate the subtitles in Powerpoint.//I'm embarrassed, I don't know what to do.//I inform my client that he can also activate the instant subtitles by clicking on the three dots ""..."" in the control bar.";Afin de garantir l'accessibilité numérique pour tous, je recommande à mon équipe de prendre connaissance des fonctionnalités d'accessibilité disponibles dans les applications Microsoft, pour être sûr que tous les contenus soient accessibles.  Ainsi, on peut s'adapter facilement à toutes les situations et partager les bonnes pratiques.;To ensure digital accessibility for all, I recommend to my team to review the accessibility features available in Microsoft apps, to make sure all content is accessible. This makes it easy to adapt to all situations and share best practices.;A//C;QCMMultiple
MNG;Avance;MNG_AVA_FR_6;Applications;Mon équipe et moi ne sommes pas sur le même site géographique. Pourtant, j'ai besoin d'organiser un atelier idéation autour d'un projet. Quel outil pouvons-nous utiliser à distance?  ;My team and I are not on the same geographic site. However, I need to organize an ideation workshop around a project. What tool can we use remotely? ;"Nous pouvons utiliser une application de brainstorming (selon autorisation de l'entreprise, l'application ""Whiteboard"" de Microsoft ou une application tierce).//Nous pouvons utiliser un bloc-notes OneNote pour brainstormer.//Impossible d'organiser un brainstorming à distance. ";"We can use a brainstorming app (depending on our company security permissions, Microsoft's ""Whiteboard"" app, or a third-party app).//We can use a OneNote notebook for brainstorming.//Impossible to organize a remote brainstorming";Avec mon équipe, nous n'avons plus besoin d'être dans la même salle pour brainstormer sur un sujet. Pendant la réunion Teams, nous pouvons le faire via les notes partagées ou encore utiliser une application tierce (Klaxoon, Miro, Beekast…) si mon organisation en dispose d'une. ;With my team, we no longer need to be in the same room to brainstorm a topic. During the Teams meeting, we can do this via shared notes or use a third-party application (Klaxoon, Miro, Beekast...) if my organization has one.;A//B;QCMMultiple
MNG;Avance;MNG_AVA_FR_7;Statut/Raccourcis;J'ai établi la règle suivante dans mon équipe : je demande à mes collègues d'aimer ma publication via le pouce, une fois qu'ils en ont pris connaissance. Est-ce un bon réflexe? ;I have established the following rule in my team: I ask my colleagues to like my post using the thumbs up, once they have read it.  Is that good practice?;Oui, ainsi je sais qui a pris connaissance de ma publication.//Non, le pouce est réservé à des usages non professionnels.  ;Yes, so I know who has read my publication.//No, the thumbs up is reserved for non-professional use.;Au-delà du pouce, de nouveaux boutons sont disponibles pour exprimer mon sentiment face à une publication : Coeur, Rire, Surpris, Triste, Fâché. ;Beyond the thumb, new buttons are available to express my feelings about a publication: Heart, Laugh, Surprised, Sad, Angry.;A;QCMUnique
MNG;Avance;MNG_AVA_FR_8;Statut/Raccourcis;Grâce à Teams, tous mes échanges sur mes différents projets sont concentrés en une seule application et j'utilise de moins en moins mes emails. Pourtant je reçois encore des notifications d'email sur les activités manquées dans Teams. Quel est le bon parcours pour désactiver ces notifications? ;Thanks to Teams, all my collaboration on my various projects are consolidated in one application and I use less email.  Yet I still get email notifications about missed activities in Teams. What is the right course of action to desactivate these notifications?;"Tout d'abord, je clique sur mon profil dans Teams.//Je sélectionne ""Notifications"" dans le menu de gauche.//Je clique sur ""Paramètres"".//Enfin, je désactive le champ ""Courriers concernant les activités manquées"".";"First, I click on my profile in Teams.//I select ""Notifications"" from the left menu.//I click ""Parameters.""//Finally, I turn off the ""mail about missed activities"" field.";A partir du moment où j'utilise Teams plusieurs heures par jour, tous les jours, je peux désactiver les notifications par email de Teams.;As soon as I use Teams several hours a day, every day, I can turn off Teams email notifications.;A//C//B//D;BonParcours
MNG;Avance;MNG_AVA_FR_9;Appels;Je peux gérer tous mes appels depuis Teams car: ;I can handle all my calls from Teams because :;J'ai accès à ma messagerie vocale//Je peux déléguer ou transférer mes appels.//Je peux appeler l'externe.//Je peux appeler mes interlocuteurs en visio. ;I have access to my voicemail//I can delegate or transfer my calls//I can make an external call//I can start a videocall/visioconference;Je n'ai plus besoin d'avoir plusieurs équipements téléphoniques. Je peux gérer facilement tous mes appels dans Teams! C'est pratique de pouvoir tout retrouver au même endroit!;I no longer need seperate telephone equipment. I can easily handle all my calls in Teams! It's convenient to have everything in one place!;A//B//C//D;QCMMultiple
MNG;Avance;MNG_AVA_FR_10;Appels;Je lance une réunion à la volée depuis une conversation de groupe. En cours d'appel, je peux: ;I've started an ad-hoc meeting from a group conversation. During the call, I can:;Partager mon écran//Enregistrer la réunion//Activer ma caméra//Partager un fichier;Share my screen//Save the meeting//Activate my camera//Share a file;"Lorsque je crée une réunion rapide depuis une conversation de groupe, je n'ai pas accès aux fonctionnalités avancées des réunions. Si je souhaite enregistrer la réunion, utiliser la fonction ""Lever"" la main, avoir des notes partagées… je dois créer la réunion depuis mon Calendrier. ";"When I create a quick meeting from a group conversation, I don't have access to the advanced features of meetings. If I want to record the meeting, use the ""Raise hand"" function, have shared notes... I have to create the meeting from my Calendar.";A//C//D;QCMMultiple
MNG;Avance;MNG_AVA_FR_11;Calendrier;J'organise une réunion avec des personnes spécifiques. Les informations qui y seront partagées sont confidentielles. Comment faire pour bloquer le transfert de la réunion?;I am organizing a meeting with specific people. Information shared will be confidential. How can I block the possibility to forward the meeting?;"Ce n'est pas possible, il vaut mieux lancer un appel audio avec ces personnes.//Je peux le faire depuis Outlook, via le bouton ""Option de réponse"" je peux choisir de désactiver le transfert. ";"It is not possible, it is better to start a voice call with these people.//I can do it from Outlook via the ""Response Option"" button where I can choose to block the forward.";Lorsque je dois organiser une réunion avec des informations confidentielles, je peux bloquer le transfert de réunion pour que seuls les participants que j'ai sélectionnés puissent joindre la réunion. ;When I have a meeting involving confidential information, I can block the possibility to forward this meeting so that only the participants I originally selected can attend the meeting.;B;QCMUnique
MNG;Avance;MNG_AVA_FR_12;Calendrier;Vrai ou faux? Aujourd'hui dans Teams, je peux accéder au calendrier d'une équipe Teams. ;True or false? In Teams today, I can access the calendar of a team.;Vrai//Faux;True//False;Aujourd'hui je ne peux pas visualiser le calendrier d'une équipe Teams. Suivant le paramétrage mis en place par mon entreprise, je peux éventuellement accéder au Groups Office 365 correspondant à cette équipe, et alors visualiser le calendrier. ;Today I can not see the calendar of a specific Teams. Depending on the setting established by my company, I may be given access to the Office 365 Group for this team, where I can view the calendar.;B;QCMUnique
MNG;Avance;MNG_AVA_FR_13;Équipe/Discussions;Pour mieux m'y retrouver entre mes équipes, je souhaite personaliser l'image à gauche du nom de l'équipe. Quel est le bon parcours? ;To better navigate through my different teams, I would like to customize the image on the left of the team's name. What is the right way to do so?;"Je sélectionne""Gérer l'équipe"".//Je commence par cliquer sur les trois points ""… "" à droite du nom de l'équipe.//Enfin, je clique sur ""Image de l'équipe"".//Je choisis l'onglet ""Paramètres"".";"I select ""Manage team"".//I click on the three dots ""..."" on the right of the team name.//Finally, I click ""Team Picture"".//I choose the ""Settings"" tab.";Une image personnalisée pour chaque équipe me permettra de mieux me repérer visuellement, dans la liste des équipes.;A custom image for each team will allow me to better identify every team visually within the list.;B//A//D//C;BonParcours
MNG;Avance;MNG_AVA_FR_14;Équipe/Discussions;Où se trouve la date d'expiration de l'équipe que j'ai créée? ;Where is the expiration date of the team that I created?;"Je clique sur ""… "" à droite du nom de l'équipe, puis sur ""Gérer l'équipe"" et sur ""Membres"".//Je clique sur ""… "" à droite du nom de l'équipe, puis sur ""Gérer l'équipe"" et sur ""Canaux"".//Je clique sur ""… "" à droite du nom de l'équipe, puis sur ""Paramètres"", la date d'expiration de l'équipe se situe en bas de la page.";"I click on ""..."" to the right of the team, then ""Manage team"" and ""Members"".//I click ""..."" on the right of the team name, then ""Manage team ""and"" Channels "".//I click"" ... ""to the right of the team name, then"" Settings "", the team's expiration date is at the bottom of the page.";La date d'expiration de l'équipe dépend de la stratégie adoptée par l'entreprise : 3 mois, 6 mois, 12 mois, 18 mois... ;The team's expiration date depends on the strategy adopted by the organization: 3 months, 6 months, 12 months, 18 months ...;C;QCMUnique
REU;Deb;REU_DEB_FR_1;Conversations;A quoi sert la conversation associée à chaque nouvelle réunion créée? ;What is the point of the conversation created with every meeting?;A envoyer des informations aux participants AVANT le démarrage de la réunion.//A échanger des informations, réagir, apporter des précisions PENDANT la réunion.//A poursuivre les échanges APRES la réunion.//A discuter de mes projets de vacances au soleil avec mes collègues.;To send information to participants BEFORE the start of the meeting.//To exchange information, respond, clarify DURING the meeting.//To continue the discussion AFTER the meeting.//To discuss my vacation plans with my colleagues.;Je n'hésite pas à utiliser la conversation de la réunion avant, pendant et après la réunion. Je peux également partager des documents.;I leverage the conversation of the meeting before, during and after the meeting. I can also share documents.;A//B//C;QCMMultiple
REU;Deb;REU_DEB_FR_2;Conversations;Je souhaite retrouver facilement la conversation d'une réunion car j'ai besoin de revenir sur des éléments échangés par écrit. Quel est le bon parcours? ;I want to easily find the conversation associated to a meeting because I need to go back on some elements. What is the right path?;"Je commence par aller dans l'onglet ""Conversations"".//Je clique sur les trois points ""…"" (Autres options).//Enfin, je clique sur ""Epingler"".//Je clique ensuite sur la conversation de la réunion en question.";"I begin by going to the ""Conversations"" tab.//I click the three dots ""..."" (More options).//Finally, I click ""Pin"".//I'll click on the conversation of the meeting in question.";"J'utilise très souvent la fonctionnalité ""Epingler/ Détacher"" pour garder les sujets du moment en tête de liste de mes conversations. ";"I use very often feature ""Pin / Disconnect"" to keep the topics of the moment in my Conversation list.";A//D//B//C;BonParcours
REU;Deb;REU_DEB_FR_3;Fichiers;Avec mes collègues nous sommes en réunion. Pouvons-nous modifier simultanément le même fichier Powerpoint stocké dans un canal? ;My colleagues & I are in a meeting. Can we simultaneously edit the same PowerPoint file stored in a channel?;C'est possible, nous verrons les positions de chacun dans le fichier via des couleurs.//Ce n'est pas possible, la co-édition ne fonctionne pas lorsque l'on est en réunion.;It is possible - we will see each others' positions in the file with colors.//It is not possible, co-editing does not work when you are in a meeting.;La co-édition est toujours possible sur Teams, elle est même recommandée ! ;Co-editing is always possible on Teams, it is even recommended!;A;QCMUnique
REU;Deb;REU_DEB_FR_4;Fichiers;Pour co-éditer simultanément un document Excel avec mes collègues, je clique sur: ;To co-edit an Excel document together with my colleagues, I click on:;"""Modifier dans Teams""//""Ouvrir dans Excel Online""//""Ouvrir dans Excel""//""Télécharger""";"""Edit in Teams""//""Open in Excel Online""//""Open in Excel""//""Download""";Si je souhaite co-éditer un document avec plusieurs de mes collègues, j'évite de le télécharger sur mon PC pour bénéficier de la fonctionnalité co-édition. ;If I want to co-edit a document with several of my colleagues, I avoid downloading to my PC to be able to use co-editing feature.;A//B//C;QCMMultiple
REU;Deb;REU_DEB_FR_5;Applications;Vrai ou faux? Je peux utiliser l'application Whiteboard de Microsoft pendant une réunion Teams de brainstorming. ;True or False? I can use Microsoft's Whiteboard application for a brainstorming meeting on Teams.;Vrai//Faux;True//False;Je peux utiliser le tableau blanc Whiteboard durant les réunions Teams, selon le paramétrage de mon entreprise. ;"I can use ""Whiteboard Teams"" during meetings, depending on the setting of my business.";A;QCMUnique
REU;Deb;REU_DEB_FR_6;Applications;Dans la vidéo, pendant sa réunion, Alex peut choisir de partager: ;During a meeting, Alex can choose to share:;Une fenêtre spécifique//L'intégralité de son écran//Une présentation PowerPoint//Toutes les réponses ci-dessus;A specific window//The entirety of the screen//A PowerPoint//All of the above;Pendant une réunion, je préfère partager l'intégralité de mon écran car c'est parfait quand je dois partager plusieurs fenêtres en toute transparence.  Je présente uniquement un fichier Powerpoint quand je dois partager une présentation et faire en sorte que d’autres personnes puissent la parcourir à leur propre rythme.;During a meeting, I prefer to share my entire screen because it's perfect when I have to move seamlessly between windows. I present a Powerpoint file only when I have to share a presentation and enable others to go at their own pace.;D;QCMUniqueVideo
REU;Deb;REU_DEB_FR_7;Statut/Raccourcis;Quelle image ne me permet pas de modifier ma photo de profil?  ;Which image does not allow me to change my profile picture?;"Je clique sur mon avatar ou mes initiales si je n'ai pas déjà chargé une photo.//Je clique sur ""Modifier l'image"".//Je télécharge une nouvelle image via la fenêtre.//Je charge un GIF dans une conversation.";"I click on my avatar and my initials if I have not already loaded my profile picture.//I download a new image.//I click on ""Edit Image"".//I load a GIF in a conversation.";D'une manière générale, je prends le temps de télécharger ma photo sur Teams afin d'être mieux identifié.e par mes collègues. ;In general, I take the time to upload my profile picture on Teams to be easily identified by my colleagues.;D;QCMUniqueImage
REU;Deb;REU_DEB_FR_8;Statut/Raccourcis;Je peux filtrer des conversations, de manière à ne retrouver que celles liées à des réunions.  ;True or False? I can filter conversations, to easily find only those related to meetings.;Vrai//Faux;True//False;"Pour retrouver mes conversations échangées lors des réunions, depuis l'onglet ""Conversation"", j'utilise la fonctionnalité ""Filtre"" et je sélectionne ""Réunions"". Je peux ensuite épingler les conversations que je souhaite conserver en haut de la liste. ";"To easily find conversations that happened during previous meetings, I use the functionality ""Filter"" and I select ""Meetings"" from the Conversation tab. I can then pin the conversations that I want to keep on top of the list.";A;QCMUnique
REU;Deb;REU_DEB_FR_9;Appels;Quelles icônes permettent de transformer une conversation de groupe en une réunion adhoc? ;Which icons can transform a group conversation in an adhoc meeting?;Icône Vidéo//Icône Audio//Icône Participant;Icon Video//Icon Audio//Icon Participant;;#VALUE!;A//B;QCMMultipleImage
REU;Deb;REU_DEB_FR_10;Appels;Je suis en réunion, j'interviens mais personne ne réagit à ma proposition…. Que se passe-t-il? ;I'm in a meeting. I am talking but nobody responds to my proposal .... What's going on?;"Mon micro est coupé.//Mon micro est coupé mais Teams a détecté que je parlais, le message ""Votre microphone est coupé"" s'affiche donc.//Mes collègues sont partis prendre un café.";"My microphone is muted.//My microphone is muted but as Teams has detected that I am speaking, the message ""Your microphone is muted"" pops up.//My colleagues have left the meeting to grab a coffee.";Teams détecte et conseille proactivement les participants lorsque de petites erreurs communes impactent le bon déroulé d'une réunion. ;Teams detects and proactively advises participants when small common mistakes impact the efficiency of a meeting.;B;QCMUnique
REU;Deb;REU_DEB_FR_11;Calendrier;Quel est le bon parcours pour créer une réunion Teams à partir d'Outlook ? ;What are the right steps to create a Teams meeting from Outlook?;"Enfin, je clique sur le bouton ""Réunion Teams"".// Je crée une ""Nouvelle réunion"".//Je vais dans l'onglet ""Calendrier"".//Je commence par ouvrir Outlook.";"Finally, I click on the ""Teams Meeting"" button.//I create a ""New Meeting"".//I click on ""Calendar"".//I first open Outlook.";Les fonctionnalités habituellement disponibles dans Outlook sont présentes : rendre cette réunion périodique, utiliser l'assistant de planification pour identifier le meilleur créeau horaire pour tous les participants.;The features usually available in Outlook are available: make the meeting recurrent, use the Scheduling assistant to identify the best time slot for all participants.;D//C//B//A;BonParcours
REU;Deb;REU_DEB_FR_12;Calendrier;Vrai ou faux? Dans Teams, lorsque je crée une réunion, je peux accéder à l'Assistant planification.;True or false? In Teams, when I create a meeting, I can access the Scheduling Assistant;Vrai//Faux;Right//Wrong;"Lorsque je crée une réunion dans Teams, une fois que j'ai indiqué les participants, je peux cliquer sur l'onglet ""Assistant de planification"" pour vérifier leurs disponibilités.";When I create a meeting in Teams, once I have typed participants names, I can click on the Scheduling assistant tab to check their availability.;A;QCMUnique
REU;Deb;REU_DEB_FR_13;Équipe/Discussions;Nous allons avoir notre réunion de service dans 2 heures, et 4 de mes collègues sont malades, donc absents….Comment faire pour qu'ils accèdent aux contenus de la réunion? ;We will have our staff meeting in 2 hours and 4 of my colleagues are sick, so out office.  How do I make sure that they will easily get access to the content of the meeting?;"Si la fonctionnalité est disponible dans mon entreprise, je peux enregistrer la réunion pour les absents.//Depuis l'onglet ""Conversations"", ils auront également accès aux fichiers et liens partagés pendant la réunion.//Ils auront accès au compte-rendu de la réunion car on utilise toujours les ""Notes partagées"".//J'appelerai un à un les absents pour leur résumer le contenu de la réunion. ";"If the feature is available in my prganisation, I can record the meeting for absents.//From the ""Conversations"" tab, they will also have access to files and links shared during the meeting.//They will have access to the minutes of the meeting because we always use the ""shared Notes"".//I'll call the absents one by one to summarize the content of the meeting.";L'enregistrement des réunions, s'il est autorisé par l'entreprise, permet aux absents de prendre connaissance de la réunion, ou de revisionner individuellement des moments de cette réunion.;The meeting recording, if authorized by the organisation, allows absents to access the content of the meeting, or individually replay moments of the meeting.;A//B//C;QCMMultiple
REU;Deb;REU_DEB_FR_14;Équipe/Discussions;Une nouvelle personne vient d'intégrer mon équipe. Pour être rapidement opérationnelle, elle souhaite savoir où elle peut accéder aux notes de la réunion hebdomadaire de l'équipe. Elle peut les retrouver dans l'onglet…;A new person has joined my team. To be onboarded quickly, she wants to know where she can find the notes of the weekly team meeting. She can find them in the tab ...;"Dans l'onglet ""Conversation""//Dans l'onglet ""Fichiers de la réunion""//Dans l'onglet ""Notes de la réunion""";"In the ""Conversation"" tab//In the ""Meeting Files"" tab//In the ""Meeting Notes"" tab";Pour les réunions périodiques, j'encourage mes collègues à utiliser les notes partagées pour avoir une synthèse des points abordés par date. ;For recurring meetings, I encourage my colleagues to use shared notes for a summary of the points raised by date.;C;QCMUniqueImage
REU;Inter;REU_INT_FR_1;Conversations;"Je lis le message que Paul m'a envoyé mais je n'ai pas le temps d'y répondre de suite; je souhaite le mettre en évidence pour y répondre plus tard. Comment faire? ";I read a message that Paul just sent to me but I don't have time to answer now. I would like to highlight it to respond later. How can I do that?;Je m'envoie un email de rappel. //Dans les conversations Teams, je marque la conversation comme non lue.//J'appelle Paul.;I send an email reminder.//In Teams' conversations, I mark the conversation as unread.//I call Paul;Lorsqu'une conversation est marquée comme non lue, une notification reste affichée dans la colonne de gauche de Teams.;When a conversation is marked as unread, a notification is displayed in the left rail of Teams.;B;QCMUnique
REU;Inter;REU_INT_FR_2;Conversations;Quels types de conversations puis-je épingler en haut de ma liste de conversations?;Which chats can I pin to the top of my chat list?;Les conversations privées.//Les conversations de groupe.//Les conversations de réunion.//Les conversations masquées. ;Private chats.//Group chats.//Meeting chats.//Hidden chats.;"Pour bien organiser mon onglet ""Conversation"", j'épingle mes conversations favorites en haut de mon interface. Je peux épingler: les conversations de réunions, les conversations de groupe et les conversations privées (1:1). ";"To organize my ""chat"" tab, I pin my favorite chats at the top of my left rail. I can pin: meeting chats , group chats and private chats (1: 1).";A//B//C;QCMMultiple
