Module;Niveau;#;Sous-Thématiques;Questions;Réponses;Bonnes pratiques;Réponses attendues;Mécaniques
MNG;Avance;MNG_AVA_FR_3;Fichiers;Je souhaite envoyer un fichier à mon collègue Bruno, qui ne fait pas partie de l'équipe Teams dans laquelle se trouve ce fichier. Quel est le bon parcours? ;"Je clique sur le bouton ""Joindre un fichier"", puis je sélectionne ""Parcourir les emplacements web"".//Je commence en créant un nouvel email à destination de Bruno. //Enfin, je sélectionne l'équipe Teams initiale et je choisis le fichier à transmettre à Bruno. //Je clique ensuite sur ""Fichiers du groupe"".";Cette manœuvre me permet de transmettre le fichier à Bruno sans l'ajouter dans l'équipe Teams. ;B//A//D//C;BonParcours
MNG;Avance;MNG_AVA_FR_4;Fichiers;"En tant que manager d'une équipe de 30 personnes, j'ai créé un canal ""Contenu pour le succès de tous"", où j'encourage mes collaborateurs à publier leurs succès et leurs documents, pour l'information de tous. Est-ce que une bonne pratique? ";Oui, les efforts des uns peuvent bénéficier aux autres, la collaboration entre les membres de l'équipe est favorisée. //Non;;A;QCMMultiple
MNG;Avance;MNG_AVA_FR_5;Applications;Nous avons une présentation avec un client. Mon client m'indique qu'il est avec un membre de son équipe qui est mal entendant et qu'il a besoin du sous-titrage pour suivre la réunion en ligne. Qu'est-ce je fais?  ;"Je demande à tous les participants qui vont présenter d'activer les sous-titrages dans Powerpoint.//Je suis embarassé( e), je ne sais pas quoi faire.//J'informe mon client qu'il peut également Activer les sous-titres instantanées en cliquant sur les trois points ""..."" dans la barre de contrôle. ";Afin de garantir l'accessibilité numérique pour tous, je recommande à mon équipe de prendre connaissance des fonctionnalités d'accessibilité disponibles dans les applications Microsoft pour être sûr que tous les contenus soient accessibles.  Ainsi, on peut s'adapter facilement à toutes les situations et partager les bonnes pratiques.;A//C;QCMMultiple
MNG;Avance;MNG_AVA_FR_6;Applications;Mon équipe et moi ne sommes pas sur le même site géographique. Pourtant, j'ai besoin d'organiser un atelier idéation autour d'un projet. Quel outil pouvons-nous utiliser à distance?  ;Nous pouvons utiliser une application de brainstorming (selon autorisation de l'entreprise, l'application Whiteboard de Microsoft ou une application tierce).//Nous pouvons utiliser un bloc-notes OneNote pour brainstormer.//Impossible d'organiser un brainstorming à distance, il faut absolument un tableau blanc. ;Avec mon équipe, nous n'avons plus besoin d'être dans la même salle pour brainstormer sur un sujet. Pendant la réunion Teams, nous pouvons le faire via les notes partagées ou encore utiliser une application tierce (Klaxoon, Miro, Beekast…) si mon organisation en dispose d'une. ;A//B;QCMMultiple
MNG;Avance;MNG_AVA_FR_7;Statut/Raccourcis;J'ai établi la règle suivante dans mon équipe : je demande à mes collègues d'aimer ma publication via le pouce, une fois qu'ils en ont pris connaissance. Est-ce un bon réflexe? ;"Oui, ainsi je sais qui a pris connaissance de ma publication.Mes collègues peuvent ensuite réagir en cliquant sur ""Répondre"" sous la publication.//Non, le pouce est réservé à des usages non professionnels.  ";Au-delà du pouce, de nouveaux boutons sont disponibles pour exprimer mon sentiment face à une publication : Coeur, Rire, Surpris, Triste, Fâché. ;A;QCMMultiple
MNG;Avance;MNG_AVA_FR_8;Statut/Raccourcis;Grâce à Teams, tous mes échanges sur mes différents projets sont concentrés en une seule application et j'utilise de moins en moins mes emails. Pourtant je reçois encore de temps en temps des notifications email de Teams, m'indiquant que des membres de certaines équipes cherchent à me joindre. Quel est le bon parcours pour désactiver ces notifications? ;"Dans Teams, je clique sur mon profil//Je sélectionne ""Notifications"" dans le menu de gauche//Je clique sur Paramètres, sous mon profil//Je désactive le champ ""Courriers concernant les activités manquées""";A partir du moment où j'utilise Teams plusieurs heures par jour, tous les jours, je peux désactiver les notifications par email de Teams.;A//C//B//D;BonParcours
MNG;Avance;MNG_AVA_FR_9;Appels;Je peux gérer tous mes appels depuis Teams car: ;J'ai accès à ma messagerie vocale//Je peux déléguer ou transférer mes appels.//Je peux appeler l'externe.//Je peux appeler mes interlocuteurs en visio. ;Je n'ai plus besoin d'avoir plusieurs équipements téléphoniques. Je peux gérer facilement tous mes appels dans Teams! C'est pratique, de pouvoir tout retrouver au même endroit!;A//B//C//D;QCMMultiple
MNG;Avance;MNG_AVA_FR_10;Appels;Je lance une réunion à la volée depuis une conversation de groupe. En cours d'appel, je peux: ;Partager mon écran//Enregistrer la réunion//Activer ma caméra//Partager un fichier;Lorsque je crée une réunion rapide depuis une conversation de groupe, je n'ai pas accès aux fonctionnalités avancées des réunions. Si je souhaite enregistrer la réunion, utiliser la fonction levée la main, avoir des notes partagées… je dois créer la réunion depuis mon Calendrier. ;A//C//D;QCMMultiple
MNG;Avance;MNG_AVA_FR_11;Calendrier;J'organise une réunion avec des personnes spécifiques. Les informations qui y seront partagées sont confidentielles. Comment faire pour bloquer le transfert de la réunion?;Ce n'est pas possible, il vaut mieux lancer un appel audio avec ces personnes.//Je peux le faire depuis Outlook, dans l'onglet Option de réponse je peux choisir de désactiver cette fonction.//Je peux le faire depuis Teams, dans l'onglet Option de réponse je peux choisir de désactiver cette fonction. ;Lorsque je dois organiser une réunion avec des informations confidentielles, je peux bloquer le transfert de réunion pour que seuls les participants que j'ai sélectionnés puissent joindre la réunion. ;B;QCMMultiple
MNG;Avance;MNG_AVA_FR_12;Calendrier;Vrai ou faux? Aujourd'hui dans Teams, je peux accéder au calendrier d'une équipe Teams. ;Vrai//Faux;Aujourd'hui je ne peux pas visualiser le calendrier d'une équipe Teams. Je peux éventuellement accéder au Groups Office 365 correspondant à cette équipe, et alors visualiser le calendrier. ;B;QCMMultiple
MNG;Avance;MNG_AVA_FR_13;Équipe/Discussions;Pour mieux m'y retrouver entre mes équipes, je souhaite personaliser l'image à gauche du nom de l'équipe. Quel est le bon parcours? ;"Je choisis ""Gérer l'équipe"".//Je clique sur ""… Plus d'options"" à droite du nom de l'équipe.//Enfin je choisis Image de l'équipe.//Je choisis l'onglet ""Paramètres"".";;B//A//D//C;BonParcours
MNG;Avance;MNG_AVA_FR_14;Équipe/Discussions;Où se trouve la date d'expiration de l'équipe que j'ai créée? ;"""… Plus d'options"" à droite du nom de l'équipe, puis Gérer l'équipe, puis ""Membres""//""… Plus d'options"" à droite du nom de l'équipe, puis Gérer l'équipe, puis ""Canaux""//""… Plus d'options"" à droite du nom de l'équipe, puis Gérer l'équipe, puis ""Paramètres"", la date d'expiration de l'équipe se situe en bas de la page.";La date d'expiration de l'équipe dépend de la stratégie adoptée par l'entreprise : 3 mois, 6 mois, 12 mois, 18 mois... ;C;QCMMultiple
REU;Deb;REU_DEB_FR_1;Conversations;A quoi sert la conversation associée à chaque nouvelle réunion créée? ;A envoyer des informations aux participants AVANT le démarrage de la réunion//A échanger des informations, réagir, apporter des précisions PENDANT la réunion//A poursuivre les échanges APRES la réunion//A discuter de mes projets de vacances au soleil avec mes collègues;Je n'hésite pas à utiliser la conversation de la réunion avant, pendant et après la réunion. Je peux également partager des documents.;D;QCMMultiple
REU;Deb;REU_DEB_FR_2;Conversations;"Je souhaite retrouver facilement la conversation d'une réunion à laquelle j'ai assisté, car j'ai besoin de revenir sur des éléments qui ont été échangés par écrit. 
Quel est le bon parcours? ";"Aller dans Conversations.//Cliquer sur ""Autres options"".//Cliquer sur ""Epingler"".//Cliquer sur la conversation de la réunion en question.";"J'utilise très souvent la fonctionnalité ""Epingler/ Détacher"" pour garder les sujets du moment en tête de liste de mes conversations. ";A//D//B//C;BonParcours
REU;Deb;REU_DEB_FR_3;Fichiers;Avec mes collègues, pouvons-nous en même temps être en réunion et modifier le même fichier Powerpoint, stocké dans un canal? ;C'est possible, nous verrons les positions de chacun dans le fichier via des couleurs.//Ce n'est pas possible, la co-édition ne fonctionne pas lorsque l'on est en réunion;La co-édition est toujours possible sur Teams, elle est même recommandée ! ;A;QCMMultiple
REU;Deb;REU_DEB_FR_4;Fichiers;Pour co-éditer simultanément sur un document excel avec mes collègues, je clique sur: ;Modifier dans Teams//Ouvrir dans le navigateur//Ouvrir l'application de bureau//Télécharger;Si je souhaite co-éditer un document avec plusieurs de mes collègues, j'évite de le télécharger sur mon PC pour bénéficier de la fonctionnalité co-édition. ;A//B//C;QCMMultiple
REU;Deb;REU_DEB_FR_5;Applications;Vrai ou faux? Je peux épingler une application dans une réunion Teams. ;Vrai//Faux;;B;QCMUnique
REU;Deb;REU_DEB_FR_6;Applications;Dans la vidéo, pendant sa réunion, Daniel peut choisir de partager: ;Une fenêtre spécifique//L'intégralité de mon écran//Une présentation Powerpoint//Toutes les réponses ci-dessus;Pendant une réunion, je préfère partager l'intégralité de mon écran car c'est parfait quand je dois partager plusieurs fenêtres en toute transparence.  Je présente uniquement un fichier powerpoint quand je dois partager une présentation et faire en sorte que d’autres personnes puissent la parcourir à leur propre rythme.;D;QCMUniqueVideo
REU;Deb;REU_DEB_FR_7;Statut/Raccourcis;Comment modifier ma photo de profil pour qu'on m'identifie rapidement lors des réunions? ;Je clique sur mon avatar ou mes initiales si je n'ai pas déjà chargé une photo//Je clique sur Modifier l'image//Je télécharge une nouvelle image via la fenêtre//Je charge un GIF dans une conversation;D'une manière générale, je prends le temps de télécharger ma photo sur Teams, afin d'être mieux identifié de mes collègues.;D;QCMUniqueImage
REU;Deb;REU_DEB_FR_8;Statut/Raccourcis;Vrai ou faux? Je peux filtrer des conversations, de manière à ne retrouver que celles liées à des réunions.  ;"Vrai, en utilisant le ""Filtre"" puis ""Réunions"" des conversations//Faux";Je peux ensuite épingler les conversations que je souhaite conserver en haut de la liste. ;A;QCMUnique
REU;Deb;REU_DEB_FR_9;Appels;Quelles icônes permettent de transformer une conversation de groupe en une réunion adhoc? ;Icône Audio//Icône Participant//Icône Détacher fenêtre//Icône Vidéo;;A//D;QCMMultipleImage
REU;Deb;REU_DEB_FR_10;Appels;Je suis en réunion, j'interviens mais personne ne réagit à ma proposition…. Que se passe-t-il? ;"Mon micro est coupé//Mon micro est coupé mais Teams a détecté que je parlais, le message ""Votre microphone est coupé"" s'affiche donc//Mes collègues sont partis prendre un café";Teams peut détecter et conseiller proactivement les participants lorsque de petites erreurs communes peuvent impacter la productivité d'une réunion. ;A//B;QCMMultipleImage
REU;Deb;REU_DEB_FR_11;Calendrier;Quel est le bon parcours pour créer une réunion Teams à partir d'Outlook ? ;"Cliquer sur ""Réunion Teams""// Créer une nouvelle réunion//Aller dans le calendrier//Ouvrir Outlook";Les fonctionnalités habituellement disponibles dans Outlook sont présentes : rendre cette réunion périodique, utiliser l'assistant de planification pour identifier le meilleur créeau horaire pour tous les participants;"D//C//B//A

";BonParcours
REU;Deb;REU_DEB_FR_12;Calendrier;Vrai ou faux? Dans Teams, lorsque je crée une réunion, je peux accéder à l'assistant planification.;Vrai//Faux;"Lorsque je crée une réunion dans Teams, une fois que j'ai indiqué les participants, je peux cliquer sur l'onglet ""Assistant de planification"" pour vérifier leurs disponibilités.";A;QCMUnique
REU;Deb;REU_DEB_FR_13;Équipe/Discussions;Nous allons avoir notre réunion de service dans 2 heures, et 4 de mes collègues sont malades, donc absents….;Si la fonctionnalité est disponible dans mon entreprise, je peux enregistrer la réunion//Je peux publier la vidéo de la réunion dans un canal, afin que les absents la visualisent à leur retour.//Je les appelerai un à un pour leur résumer le contenu de la réunion. ;L'enregistrement des réunions, s'il est autorisé par l'entreprise, permet aux absents de prendre connaissance de la réunion, ou de revisionner individuellement des moments de cette réunion.;A//B;QCMMultipleImage
REU;Deb;REU_DEB_FR_14;Équipe/Discussions;Une nouvelle personne vient d'intégrer mon équipe. Pour être rapidement opérationnelle, elle souhaite savoir où elle peut accéder aux notes partagées des réunions périodiques de l'équipe. Elle peut le retrouver:;Dans l'onglet Fichiers de la réunion//Dans l'onglet Conversation//Dans l'onglet Notes de la réunion;Pour les réunions périodiques, j'encourage mes collègues à utiliser les notes partages pour avoir une synthèse des points abordés par date. ;A;QCMUniqueImage
REU;Inter;REU_INT_FR_1;Conversations;"Je lis le message que Paul m'a envoyé mais je n'ai pas le temps d'y répondre de suite; je souhaite le mettre en évidence pour y répondre ultérieurement. Comment faire? ";Je m'envoie un email pour me faire un rappel//Dans les conversations Teams, je marque la conversation comme non lue//J'appelle Paul ;Lorsqu'une conversation est marquée comme non lue, une notification reste affichée dans la colonne de gauche de Teams;B;QCMMultiple
REU;Inter;REU_INT_FR_2;Conversations;Quels types de conversation puis-je épingler en haut de ma liste de conversations?;Les conversations privées.//Les conversations de groupe.//Les conversations de réunion.//Les conversations masquées. ;J'épingle les conversations de mes réunions périodiques pour y accéder plus rapidement. Pour bien organiser cette interface, j'épingle dans l'ordre: les conversations de réunions, les conversations de groupe et enfin les conversations privées. ;A//B//C;QCMMultiple
REU;Inter;REU_INT_FR_3;Fichiers;Comment faire au mieux pour partager un support en amont de ma réunion? ;Je l'envoie par email aux participants de la réunion.//Je le partage depuis mon OneDrive dans la conversation de la réunion.//Je le partage depuis mon OneDrive aux participants, sans le lier spécifiquement à la réunion prévue.;"Le mieux est de partager le support depuis mon OneDrive dans la conversation de la réunion: ainsi, tous les échanges ayant trait à cette réunion sont centralisés.
De plus, grâce à la synchronisation de OneDrive et Teams, même mes toutes dernières modifications apportées au document seront visibles des participants. ";B;QCMUniqueImage
REU;Inter;REU_INT_FR_4;Fichiers;Qui peut télécharger la liste des participants à une réunion? ;Tous les participants//Seuls les membres de mon organisation//Seul l'organisateur de la réunion;;C;QCMMultiple
REU;Inter;REU_INT_FR_5;Applications;J'ai organisé une réunion Teams pour former mes collègues sur l'utilisation d'une nouvelle application métier. Dans le bac de partage de la réunion, je sélectionne : ;Partager un Fichier Powerpoint//Partager mon bureau//Partager une fenêtre;Je partage une seule fenêtre quand j'ai besoin de n'afficher qu’une seule chose et que je veux masquer le reste de l’écran. Quand je navigue sur mon bureau, les participants ne voient que la fenêtre que j'ai partagée. ;C;QCMMultiple
REU;Inter;REU_INT_FR_6;Applications;"Pendant une réunion, si on me demande de partager une présentation Powerpoint, il est conseillé de sélectionner ""Partager un Fichier PowerPoint"" plutôt que ""Partager une fenêtre"" car: ";Les participants bénéficieront de fonctionnalités spéciales.//Les participants pourront se déplacer dans différentes diapositives sans interrompre la présentation principale.//Les participants peuvent synchroniser leur affichage avec l’affichage du présentateur d’un simple clic.//Les trois réponses ci-dessus.;"Pendant une réunion, si nous devons présenter à plusieurs une présentation, je sélectionne ""Partager un Fichier Powerpoint"" dans le bac de partage. Ainsi, les autres participants pourront la parcourir à leur propre rythme sans interrompre la présentation principale. Plus besoin de dire ""Reviens sur la slide 2""! Je peux également donner la main aux autres présentateurs sans arrêter le partage et reprendre le contrôle à tout moment. ";D;QCMMultiple
REU;Inter;REU_INT_FR_7;Statut/Raccourcis;"Vrai ou faux? Lorsque je crée une réunion sur Teams, je peux définir un statut des participants à la réunion : Obligatoire/Facultatif.
";Vrai, je peux le définir de la même façon que dans Outlook.//Faux;;A;QCMMultiple
REU;Inter;REU_INT_FR_8;Statut/Raccourcis;Quelle action permet de raccrocher la réunion pour tous les participants? ;Raccrocher//Mettre fin à la réunion//Activer la caméra;Si une réunion se termine plus tôt que prévu, je sélectionne l'option Mettre fin à la réunion pour raccrocher tous les participants. Ainsi, s'il y a des retardaires ils sauront que la réunion est terminée. ;B;QCMUniqueImage
REU;Inter;REU_INT_FR_9;Appels;"Je suis en télétravail et je m'apprête à suivre une réunion, mais mon environnement est mal rangé….
Comment masquer cette réalité à mes interlocuteurs? ";Je n'active pas ma caméra//Je peux appliquer des effets d'arrière-plan//Je peux flouter mon arrière-plan;J'active au maximum ma caméra pendant les réunions, afin de conserver l'attention de tous.;B//C;QCMMultipleImage
REU;Inter;REU_INT_FR_10;Appels;Je suis en réunion avec mon équipe de commerciaux, et nous avons besoin d'interroger l'expert en droit commercial de notre entreprise. Quel est le bon parcours pour l'ajouter à la volée à notre réunion?  ;"Je clique sur ""Afficher les participants""//La réunion est en cours//Je tape le nom de l'expert en droit commercial, dans la zone de saisie//La réunion appelle automatiquement le participant ajouté à la volée.";;"A/ La réunion est en cours. 
B/ Je clique sur ""Afficher les participants"". 
C/ La réunion appelle automatiquement le participant ajouté à la volée. 
C/Je tape le nom de l'expert en droit commercial, dans la zone de saisie.";BonParcours
REU;Inter;REU_INT_FR_11;Calendrier;Puis-je créer une réunion Teams périodique? ;Oui depuis Outlook :image//Oui depuis Teams : image//Oui depuis Planificateur;;A//B;QCMMultipleImage
REU;Inter;REU_INT_FR_12;Calendrier;Je suis en train de créer une réunion Teams et je souhaite paramétrer ses options : comment faire? ;Dans l'invitation Outlook de la réunion, je peux accéder aux options//Dans l'invitation Teams de la réunion, je peux accéder aux options//Je ne peux pas paramétrer les options de la réunion;Dans les options, je pourrai paramétrer des élements tels que la salle d'attente ou le rôle de présentateur. ;A//B;QCMMultipleImage
REU;Inter;REU_INT_FR_13;Équipe/Discussions;Je souhaite modifier une publication que j'ai écrite car j'ai indiqué un taux de renouvellement de 70% alors qu'il est en ce moment de 80 % : comment faire? ;"Je vais sur ma publication et je clique sur l'emoji ""Fâché""//Je vais sur ma publication et je clique sur ""Répondre//Je vais sur ma publication et je clique sur ""…Plus d'options"" et ""Modifier""";;C;QCMUnique
REU;Inter;REU_INT_FR_14;Équipe/Discussions;Je souhaite organiser une réunion de division avec les équipes régionales et on compte 50 personnes à inviter. Est-ce que je peux inviter tout le monde dans une réunion Teams? ;Oui car je peux inviter jusqu'à 250 personnes dans une réunion Teams. //Oui car je peux inviter jusqu'à 50 personnes dans une réunion Teams. //Non je ne peux pas inviter autant de personnes à une réunion Teams. ;Sur Teams, je peux organiser des réunions jusqu'à 250 personnes. Pratique pour les réunions générales trimestrielles, les appels régionaux et en plus, tout le monde peut joindre la réunion de n'importe où!;A;QCMMultiple
REU;Avance;REU_AVA_FR_1;Conversations;Que puis-je partager dans la conversation d'une réunion? ;Un fichier Excel, Word, Powerpoint, PDF...//Une image//Un GIF//Un lien de site internet;;A//B//C//D;QCMMultiple
REU;Avance;REU_AVA_FR_2;Conversations;Je transforme une conversion en une réunion ad hoc quand: ;Je veux apporter des commentaires rapides.//Je veux aider quelqu'un en temps réel//Quand je veux enregistrer une réunion.//Quand une conversation en temps réel ne suffit pas. ;Lorsque je crée une réunion rapide depuis une conversation de groupe je n'ai pas accès aux fonctionnalités avancées des réunions. Si je souhaite enregistrer la réunion, utiliser la fonction levée la main, avoir des notes partagées… je dois créer la réunion depuis mon Calendrier. ;A//B//D;QCMMultiple
REU;Avance;REU_AVA_FR_3;Fichiers;J'ai organisé une formation via Teams avec l'équipe commerciale. Je vais démarrer la formation et je souhaite accéder à la liste des personnes présentes. Quel est le bon parcours pour y accéder? ;"Je clique sur ""Afficher les participants"" //Je démarre la réunion depuis mon calendrier Teams//Je clique sur ""Télécharger la liste d'assiduité""//Je peux consulter le rapport au format .CSV";Je peux organiser une formation via une réunion Teams et télécharger la liste des participants. Cela me permet d'assurer un suivi et de relancer ceux qui n'ont pas pu y assister. ;B//A//D//C;BonParcours
REU;Avance;REU_AVA_FR_4;Fichiers; Vrai ou faux?Le rapport d'assiduité des participants à une réunion contient le nom, l'action (a rejoint), la date et l'heure de l'action, pour chacun des participants. ;Vrai//Faux;En tant qu'organisateur de la réunion, je peux ainsi savoir à quelle heure les différents participants sont arrivés.;A;QCMUnique
REU;Avance;REU_AVA_FR_5;Applications;Vrai ou faux? Utiliser Planificateur pour faire du suivi d'actions d'une réunion à l'autre est pertinent. ;Vrai//Faux;L'outil Planificateur peut être épinglé à un canal et ainsi permettre un suivi dynamique des actions;A;QCMUnique
REU;Avance;REU_AVA_FR_6;Applications;J'ai enregistré une réunion Teams avec des clients. Mon client me dit qu'il n'arrive pas à lire l'enregistrement de la réunion. Comment faire? ;Il ne fait pas partie de mon organisation, il n'a pas accès à l'enregistrement.//Je télécharge la vidéo sur mon PC et je lui envoie en pièce jointe.//J'ouvre l'enregistrement sur Microsoft Stream et je modifie les autorisations de la vidéo pour autoriser des groupes ou des utilisateurs à la visualiser. ;;C;QCMMultiple
REU;Avance;REU_AVA_FR_7;Statut/Raccourcis;Je viens de brancher mon casque pour participer à une réunion. Mais le son sort de mon PC. Quel est le bon parcours pour régler ce problème? ;"Je sélectionne Afficher les paramètres de périphérique.//Je sélectionne mon casque dans Périphériques Audio//Je clique sur les trois points ""…"" dans la barre de contrôle.";;C//A//B;BonParcours
REU;Avance;REU_AVA_FR_8;Statut/Raccourcis;La semaine prochaine, je pars en congés. Mes collègues sauront que je ne pourrais pas assister aux réunions de la semaine car: ;Mon statut sera sur Absent (e ) du bureau.//Un message d'absence s'affichera dans les conversations des réunions périodiques que j'ai accepté.//Depuis Outlook, un message d'absence s'affichera quand on m'invitera à une réunion//J'ai prévenu tout le monde par email que j'ai pris ma semaine. ;"Quand je pars en congés, j'informe par chat les personnes avec qui je travaille en permanence. Je modifie mon message de statut et je réponds en sélectionnant Refuser"""" aux organisateurs de réunions programmées sur ma période de congés. ";A//B//C;QCMMultiple
REU;Avance;REU_AVA_FR_9;Appels;Lors d'une présentation, je dois lancer une vidéo. Quel est le bon parcours pour que les participants entendent le son de ma vidéo à travers le partage d'écran ?;"Je coche ""Inclure le système audio"" en haut à gauche de la fenêtre//Je partage la fenêtre contenant la vidéo//Je sélectionne l'icône ""Partager du contenu"" //Je démarre la réunion";Je peux également coller le lien de la vidéo dans le chat de la réunion, pour consultation ultérieure par les participants.;D//C//A//B;BonParcours
REU;Avance;REU_AVA_FR_10;Appels;Quelle icône permet de désactiver tous les micros des participants rejoignant une réunion? ;"Icône conversation de la réunion//Icône ""Ajouter un participant""//Icône ""Désactiver tous les micros""";Si nécessaire, je peux désactiver le micro des participants qui rejoignent ma réunion. ;C;QCMUniqueImage
REU;Avance;REU_AVA_FR_11;Calendrier;Je suis en réunion avec 3 collègues, je projette mon bureau et l'un de mes collègues propose de prendre la main sur mon poste pour nous expliquer un process compliqué. Est-ce possible? ;Oui, en donnant le contrôle à mon collègue - sa photo apparaitra à côté de sa souris lorsqu'il la déplacera//Non;Je peux donner le contrôle sur mon PC de façon souple, à des collègues qui participent à la même réunion que moi. Je peux aussi reprendre ce contrôle très facilement.;A;QCMUnique
REU;Avance;REU_AVA_FR_12;Calendrier;J'ai une réunion avec des filiales étrangères, comment activer le sous-titrage lors d'une réunion Teams? ;"Icône conversation de la réunion//Icône ""Ajouter un participant""//Icône ""Activer les sous-titres instantanés""";;C;QCMUniqueImage
REU;Avance;REU_AVA_FR_13;Équipe/Discussions;Mon correspondant du Japon a publié un message en japonais dans un canal.... Or je ne parle pas japonais. Comment prendre connaissance de son message? ;"Je l'appelle mais il est 23h au Japon… //J'utilise la fonction ""Traduire""à droite du message//Je copie son message et le colle dans mon navigateur internet, pour utiliser un traducteur grand public non sécurisé";La traduction est disponible pour les messages dans les canaux et les conversations. ;B;QCMMultiple
REU;Avance;REU_AVA_FR_14;Équipe/Discussions;Quel est le bon parcours pour planifier une réunion directement depuis un canal d'équipe ?;"Je n'ai plus qu'à compléter les détails de la réunion que je vais générer. //Je clique sur l'icône ""Planifier une réunion""//Je me place sur ""Répondre"" à la fin de la conversation que je souhaite//Je me place dans le canal de l'équipe en question";En planifiant des réunions d'équipe de cette manière, je n'ai pas besoin d'inviter les personnes individuellement. Je gagne ainsi du temps !;D//C//B//A;BonParcours
MOB;Deb;MOB_DEB_FR_1;Conversations;Depuis l'application mobile, quelle icône permet d'envoyer un message audio?;"Icône ""Appel audio""//Icône ""Appel vidéo""//Icône ""Micro"" ";"En mobilité, j'utilise les messages audio pour échanger rapidement avec mes collègues via l'application mobile. Je reste appuyer sur l'icône ""Micro"" pour enregistrer le message et je relâche une fois le message terminé, puis j'appuie sur l'icône ""Envoyer"".";C;QCMMultipleImage
MOB;Deb;MOB_DEB_FR_2;Conversations;Vrai ou faux? Je peux  épingler une conversation d'un canal pour la retrouver rapidement sur l'application mobile?;Vrai//Faux;"Je retrouve facilement mes canaux favoris sur mobile en les épinglant. J'ouvre le canal, je clique sur l'icône ""…"" en haut à droite et je sélectionne ""Epingler le canal"". ";A;QCMUnique
MOB;Deb;MOB_DEB_FR_3;Fichiers;Vrai ou faux ? Lorsque j'utilise Teams sur mon mobile, je peux consulter mes équipes et les fichiers associés. ;Vrai, je peux sélectionner les équipes à afficher et les bilbiothèques de fichiers correspondantes//Faux, je ne peux que chatter avec Teams sur mon mobile;Je retrouve mon univers Teams partout avec moi, grâce à mon mobile ! ;A;QCMMultiple
MOB;Deb;MOB_DEB_FR_4;Fichiers;Je suis sur mon application Teams mobile. Je consulte les fichiers d'une équipe. Si je le souhaite, je peux ajouter :;Un nouveau fichier//Une image ou une vidéo//Un nouveau dossier;;A//B//C;QCMMultiple
MOB;Deb;MOB_DEB_FR_5;Applications;Depuis l'application mobile, quel onglet me permet d'accéder aux messages et publications enregistrés?;Onglet Activités//Onglets Equipes//Onglets Plus;Même en déplacement, je peux accéder rapidement à mes messages et publications enregistrés. C'est pratique car je n'ai pas besoin de revenir sur mon PC pour les retrouver. ;C;QCMUniqueVideo
MOB;Deb;MOB_DEB_FR_6;Applications;Je viens de voir une nouvelle publicité d'un concurrent. J'aimerai prendre une photo rapidement et l'envoyer à mon responsable. Comment faire? ;Je peux prendre une photo directement depuis l'application Teams!//J'utilise l'appareil photo de mon mobile et je lui partage par email.//J'utilise l'appareil photo de mon mobile, je la télécharge sur mon PC et je lui partage sur Teams.;Grâce à la fonctionnalité Caméra intégrée dans Teams, je peux être réactif (ve) et partager des informations rapidement à mes collègues. Je peux prendre une photo d'un problème technique sur un chantier, un mauvais affichage en magasin, une photo d'un document, d'une carte de visite ou simplement leur partager le menu du midi. Pour cela, j'ouvre l'application, j'appuie sur Plus et je sélectionne Caméra. Je la partage ensuite dans une conversation ou dans un canal!;A;QCMUnique
MOB;Deb;MOB_DEB_FR_7;Statut/Raccourcis;Quel statut privilégier lorsque je suis en rendez-vous client et que je ne veux pas être dérangé? ;Statut disponible//Statut Occupé//Statut Ne pas déranger;Je peux modifier manuellement mon statut sur Teams, dans l'application mobile.;C;QCMMultipleImage
MOB;Deb;MOB_DEB_FR_8;Statut/Raccourcis;Je sais que j'ai posté une réponse importante à un message d'Alex, mais je ne sais plus où, ni dans quelle équipe Teams. Comment retrouver mon message? ;"J'appelle Alex pour lui demander s'il a vu ma réponse//J'envoie un email à Alex//J'appuie sur le bouton ""Activité"", puis en haut je sélectionne ""Mon activité"" au lieu de ""Flux"" : je retrouve ainsi mes dernières activités dans les équipes Teams.";Je peux filter mon activité dans les différentes équipes Teams auxquelles j'appartiens.;C;QCMMultiple
MOB;Deb;MOB_DEB_FR_9;Appels;Que fait Alex dans cette vidéo? ;Il partage un fichier à son manager.//Il lance un appel audio avec son manager.//Il lance un appel vidéo avec son manager. ;Je transforme rapidement mes conversations en appel visio pour faire un point rapide avec mes interlocuteurs. ;C ;QCMUniqueVideo
MOB;Deb;MOB_DEB_FR_10;Appels;Je suis dans un environnement bruyant (gare, aéroport, usine) mais je veux tout de même suivre la réunion de 17h sur Teams. Trouver l'intrus : ;Je peux désactiver mon micro lorsque je ne parle pas.//Je peux mettre mon casque pour mieux entendre et être mieux entendu.//Je peux désactiver ma caméra.//Je peux jouer avec mes clés pendant la réunion.;Je peux tout à fait suivre une réunion Teams même dans un environnement bruyant.;A//B//C;QCMMultiple
MOB;Deb;MOB_DEB_FR_11;Calendrier;"Je suis en déplacement professionnel et on m'a volé mon ordinateur portable professionel. 
Comment participer à la réunion Teams très importante à 17H? ";Je m'y connecte grâce à mon téléphone, via l'application Teams//J'utilise l'ordinateur de l'hôtel mis à disposition de tous, je lance Office.com, je me connecte avec mon identifiant et mon mot de passe, et je choisis Teams//Je ne participe pas à la réunion. ;Même sur un ordinateur qui n'est pas le mien (personnel ou professionnel), je peux retrouver mon environnement de travail via Office.com : Teams, mes documents avec OneDrive, mes emails sur Outlook….;A//B;QCMMultiple
